Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range
04/04/2022,ARCH,Arch Resources  Inc.,127.34,152.103,134.31,-5.19%,13.25%,2.55,0.28,neutral,bullish,123.32,178.21,2.11,0.32,24.763000000000005,18.44%
04/04/2022,ARKK,ARK Innovation ETF,62.541,78.092,70.395,-11.16%,10.93%,0.98,0.51,bullish,bearish,45.98,78.09,0.49,0.67,15.551000000000002,22.09%
04/04/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,28.183,31.675,28.352,-0.60%,11.72%,19.66,0.05,bullish,bullish,22.50,34.57,0.83,0.55,3.492000000000001,12.32%
04/04/2022,DBA,Invesco DB Agriculture Fund,21.287,22.442,21.875,-2.69%,2.59%,0.96,0.51,bullish,bullish,20.98,23.04,1.71,0.37,1.1550000000000011,5.28%
04/04/2022,DBC,Invesco DB Commodity Index Tracking Fund,24.521,28.331,26.64,-7.95%,6.35%,0.80,0.56,bullish,bullish,23.13,30.11,1.25,0.44,3.8099999999999987,14.30%
04/04/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,115.678,124.811,121.085,-4.47%,3.08%,0.69,0.59,bearish,bearish,113.43,128.98,0.86,0.54,9.13300000000001,7.54%
04/04/2022,ETHE,Grayscale Ethereum Trust,27.104,31.505,27.83,-2.61%,13.21%,5.06,0.16,bullish,bullish,14.10,37.67,0.65,0.61,4.401,15.81%
04/04/2022,GLD,SPDR Gold Shares,174.118,183.376,180.0701,-3.31%,1.84%,0.56,0.64,bearish,neutral,170.49,196.38,1.87,0.35,9.25800000000001,5.14%
04/04/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,80.904,83.96,82.35,-1.76%,1.96%,1.11,0.47,bullish,neutral,78.82,83.96,0.64,0.61,3.0559999999999974,3.71%
04/04/2022,IEF,iShares 7-10 Year Treasury Bond ETF,104.798,107.581,106.63,-1.72%,0.89%,0.52,0.66,bearish,bearish,104.54,110.93,2.03,0.33,2.7830000000000013,2.61%
04/04/2022,IWM,iShares Russell 2000 ETF,202.542,218.283,207.63,-2.45%,5.13%,2.09,0.32,bullish,neutral,182.67,219.97,0.51,0.66,15.740999999999985,7.58%
