Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,1 year Hurst
05/04/2022,AMLP,Alerian MLP ETF,36.793,41.557,39.86,-7.69%,4.26%,0.55,0.64,neutralDanger,bullish,35.88,42.09,0.92,0.52,4.764000000000003,11.95%,0.68
05/04/2022,ARCH,Arch Resources  Inc.,127.711,205.036,174.4553,-26.79%,17.53%,0.65,0.60,neutralDanger,bullish,127.65,217.20,0.87,0.53,77.325,44.32%,0.6
05/04/2022,ARKK,ARK Innovation ETF,45.262,52.758,49.19,-7.99%,7.25%,0.91,0.52,bearish,bearish,38.67,66.14,1.45,0.41,7.496000000000002,15.24%,0.68
05/04/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,22.479,25.065,24.3,-7.49%,3.15%,0.42,0.70,bearish,bearish,19.93,29.24,1.66,0.38,2.586000000000002,10.64%,N/A
05/04/2022,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,19.595,22.182,20.4364,-4.12%,8.54%,2.07,0.33,bullish,bullish,18.03,22.88,1.21,0.45,2.5869999999999997,12.66%,0.61
05/04/2022,DBA,Invesco DB Agriculture Fund,21.602,22.342,22.05,-2.03%,1.32%,0.65,0.61,bearish,bullish,21.07,23.28,1.76,0.36,0.7399999999999984,3.36%,0.58
05/04/2022,DBC,Invesco DB Commodity Index Tracking Fund,26.481,29.2,28.32,-6.49%,3.11%,0.48,0.68,bullish,bullish,23.75,31.89,1.14,0.47,2.7189999999999976,9.60%,0.66
05/04/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,101.378,108.704,104.718,-3.19%,3.81%,1.19,0.46,bearish,bearish,98.24,113.46,1.40,0.42,7.325999999999993,7.00%,0.65
05/04/2022,EEM,iShares MSCI Emerging Markets ETF,40.306,43.298,42.33,-4.78%,2.29%,0.48,0.68,bearish,bearish,37.07,47.16,0.81,0.55,2.9920000000000044,7.07%,0.59
05/04/2022,ETHE,Grayscale Ethereum Trust,18.064,22.479,21.04,-14.14%,6.84%,0.48,0.67,bearish,bearish,14.36,28.43,1.36,0.42,4.414999999999999,20.98%,0.66
05/04/2022,EUM,ProShares Short MSCI Emerging Markets,13.955,14.961,14.301,-2.42%,4.62%,1.91,0.34,bullish,bullish,12.62,16.05,1.18,0.46,1.0060000000000002,7.03%,0.59
05/04/2022,FILL,iShares MSCI Global Energy Producers ETF,21.497,24.182,23.65,-9.10%,2.25%,0.25,0.80,neutralDanger,bullish,21.50,25.16,1.07,0.48,2.6849999999999987,11.35%,0.63
05/04/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,56.277,80.194,62.1,-9.38%,29.14%,3.11,0.24,bullish,neutral,17.04,90.47,0.63,0.61,23.917,38.51%,0.64
05/04/2022,GDX,VanEck Vectors Gold Miners ETF,32.293,37.443,35.45,-8.91%,5.62%,0.63,0.61,bearish,neutral,32.29,41.84,2.44,0.29,5.149999999999999,14.53%,0.67
05/04/2022,GLD,SPDR Gold Shares,171.18,178.372,174.9104,-2.13%,1.98%,0.93,0.52,bearish,bearish,164.35,194.14,2.12,0.32,7.192000000000007,4.11%,0.66
05/04/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,77.988,79.847,78.615,-0.80%,1.57%,1.96,0.34,bearish,bearish,76.17,81.83,1.29,0.44,1.8589999999999947,2.36%,0.63
05/04/2022,IEF,iShares 7-10 Year Treasury Bond ETF,100.679,103.86,102.17,-1.46%,1.65%,1.13,0.47,bearish,bearish,99.40,106.84,1.82,0.35,3.1809999999999974,3.11%,0.66
05/04/2022,IWM,iShares Russell 2000 ETF,180.319,197.116,188.33,-4.25%,4.67%,1.10,0.48,bearish,bearish,177.06,208.17,1.72,0.37,16.797000000000025,8.92%,0.6
05/04/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,110.308,114.006,112.41,-1.87%,1.42%,0.76,0.57,bearish,bearish,108.81,117.80,1.50,0.40,3.6979999999999933,3.29%,0.66
05/04/2022,PCT,PureCycle Technologies  Inc.,7.448,9.323,7.99,-6.78%,16.68%,2.46,0.29,bullish,neutral,6.11,11.95,1.91,0.34,1.875,23.47%,0.64
05/04/2022,PFIX,Simplify Interest Rate Hedge ETF,54.869,61.653,58.5,-6.21%,5.39%,0.87,0.54,bullish,bullish,51.26,68.15,1.18,0.46,6.783999999999999,11.60%,N/A
05/04/2022,PST,ProShares UltraShort 7-10 Year Treasury,19.328,20.564,19.9965,-3.34%,2.84%,0.85,0.54,bullish,bullish,18.11,21.06,0.56,0.64,1.2360000000000007,6.18%,0.66
05/04/2022,QQQ,Invesco QQQ Trust,303.974,330.916,320.2794,-5.09%,3.32%,0.65,0.61,bearish,bearish,290.76,367.75,2.22,0.31,26.942000000000007,8.41%,0.65
